name,website,address,phone,category,rating,reviews_count,reject_reason
Christopher Wren House,,"115 High St, Croydon CR0 1QG, United Kingdom",+442032280000,Medical clinic,3.9,,no_website
City Fertility,https://www.city-fertility.com/,"16 St John St, Greater, Barbican, London EC1M 4NT, United Kingdom",+442082093226,Medical clinic,1,,http_error:403
Clapham Junction Bupa Health Centre,https://www.bupa.co.uk/health/health-assessments/our-centres/clapham-junction,"37 St John's Hl, London SW11 1TT, United Kingdom",+442070520070,Medical Center,4.7,,http_error:403
Clapton Slimming World with Lorraine,,"Salvation Army, Lower Clapton, London E5 0QR, United Kingdom",+447943959192,Weight loss service,,,no_website
Clarity Vision Correction,https://clarityvisioncorrection.co.uk/,"Moorfields Private Outpatient Centre, 9-11 Bath St, London EC1V 9LF, United Kingdom",+442035790555,Ophthalmologist,5,,ssl_error
Clinic Eighteen,,"18 Beauchamp Pl, London SW3 1NQ, United Kingdom",+442038273521,Medical clinic,5,,no_website
CMA Clinic & Training Academy,https://cmaclinicacademy.com/,"204 Fulham Rd., London SW10 9PJ, United Kingdom",+447469195667,Medical clinic,4.9,,connection_error
Complementary Medicine Allergy Clinic,,"La Maison Medicale, 10 Cromwell Pl, South Kensington, London SW7 2JN, United Kingdom",+447907568089,Medical clinic,,,no_website
Concepto Ealing,,"Saunders House, 52-53 The Mall, London W5 3TA, United Kingdom",,Medical clinic,4.3,,no_website
Coyne Medical Cryotherapy,http://coynemedicalcryotherapy.com/,"658-660 Fulham Rd., London SW6 5AD, United Kingdom",+442077313077,Trung tâm chăm sóc sức khỏe,,,timeout
Create Health Limited,,"Level 2, Dunstan Houses, 14A St Cross St, London EC1N 8XA, United Kingdom",+443332407300,Fertility clinic,,,no_website
Cry Eat and Sleep Clinic,https://www.cryeatsleepclinic.com/contact-us.php,"Harley Street Ltd, 96 Harley St, London W1G 7HY, United Kingdom",+447867800331,Medical clinic,,,ssl_error
Cryo Clinics Ltd,,"46/50 Sunny Gardens Rd, London NW4 1RP, United Kingdom",,Medical clinic,,,no_website
Cupping Health Clinic,,"Whittaker Rd, London E6 1AA, United Kingdom",,Bác sĩ trị liệu xoa bóp,,,no_website
Dam Health Shoreditch Clinic,,"154 Hackney Rd, London E2 7QX, United Kingdom",+443301742200,Medical laboratory,2.6,,no_website
DERMA FILLER LTD,https://dermafillerltd.uk/,"1st floor, Ealing Cross, 85 Uxbridge Rd, London W5 5TH, United Kingdom",+447823391484,Dermatologist,5,,connection_error
Dermanoir Skin Clinic,http://www.bameskincare.com/,"395 Chapter Rd, London NW2 5NG, United Kingdom",+442036330632,Dermatologist,4.1,,connection_error
DermaRepair Skincare Limited,https://dermarepairskincare.co.uk/,"Capital House, 61 Amhurst Rd, London E8 1LL, United Kingdom",+447770375859,Dermatolog,5,,error:TooManyRedirects
Dheergayush Wellness Clinic,,"67 Lee High Rd, London SE13 5NS, United Kingdom",+447949082691,,,,no_website
DIAMOND SKIN IV DRIP VITAMIN LOUNGE,,"High Rd, Wembley HA9 6AS، United Kingdom",+442080040277,,5,,no_website
Dmc Community Dermatology Service,,"114 High Rd, London E18 2QS, United Kingdom",,Skin care clinic,1.8,,no_website
Doctor K Weight Loss,https://www.doctorkweightloss.com/,"76 Harley St, London W1G 7HH, United Kingdom",+442070990455,Weight loss service,5,,http_error:404
Dr Bouvresse - Dermatologist,https://lamaisonmedicale.co.uk/,"La Maison Medicale, 2 North Terrace, London SW3 2BA, United Kingdom",+442075899321,Dermatologist,3.7,,ssl_error
Dr Hari Jayaram - Consultant Ophthalmic Surgeon,https://www.hjglaucoma.com/,"Moorfields Private Eye Hospital, 9-1 Bath St, London EC1V 9LF, United Kingdom",+447862034039,Ophthalmologist,5,,http_error:403
Dr Karolina Gholam,,"Great Ormond St, London WC1N 3JH, United Kingdom",+447546952050,Medical clinic,3.6,,no_website
Dr M G Sweeney - Knightsbridge Medical Centre,https://knightsbridgemedicalcentre.org.uk/about-us/staff/,"75 Pavilion Rd, London SW1X 0ET, United Kingdom",+442039615260,Allmänläkare,3.1,,http_error:404
"Dr Mohana Krishnan MBBS, MRCGP, DipDerm",,"Lawrence House Surgery, 107 Philip Ln, London N15 4JL, United Kingdom",+442088016640,Dermatologist,5,,no_website
Dr S Rajeswaran - St Johns Medical Centre,,"56-60 Loampit Hill, London SE13 7SX, United Kingdom",+442086921354,Bác sĩ,5,,no_website
Dr. Bela,,"Chiswick Clinic, Chardin Rd, Chiswick, London W4 1RJ, United Kingdom",+442081293066,Dermatologist,,,no_website
DrKargin,https://drkargin.co.uk/,"51 Beauchamp Pl, London SW3 1NY, United Kingdom",+447494802551,Medical Center,4.9,,connection_error
Dry Eye Clinics,,"128 Finchley Rd, London NW3 5HT, United Kingdom",+448445765043,Eye care center,,,no_website
Ealing eClinic,,"63 Mattock Ln, London W13 9LA, United Kingdom",+442071184334,Medical clinic,,,no_website
EF Future Health,http://www.ef-futurehealth.com/,"29 Kensington Church St, London W8 4LL, United Kingdom",+442030930110,Medical clinic,5,,http_error:403
Elite Clinic London,https://www.elitecliniclondon.com/,"Broadway Parade, 20-21 Coldharbour Ln, London UB3 3HF, United Kingdom",+447873548616,Medical group,5,,http_error:404
Embody Health London,,"First Floor, 321 Fulham Rd., London SW10 9QL, United Kingdom",+447340900843,Nutritionist,5,,no_website
EMBRYOPORT,http://www.embryoport.co.uk/,"142 Blackbrook Ln, Bickley, Bromley BR1 2HP, United Kingdom",+447857950009,Dịch vụ chuyển phát nhanh,4.9,,http_error:403
Energy Nutrition,http://energy-nutrition.co.uk/,"25 Palace Gardens Terrace, London W8 4SA, United Kingdom",+447901106670,Nutritionist,5,,http_error:403
Epilite,http://www.epilite.co.uk/,"303 Long Ln, Uxbridge UB10 9JY, United Kingdom",+441895274149,Weight loss service,5,,connection_error
Epione Wellbeing Centre,,"383 Wightman Rd, Harringay Ladder, London N8 0NA, United Kingdom",,Medical clinic,3,,no_website
Evergreen Sports Clinic,,"86 Ballards Way, South Croydon CR2 7LA, United Kingdom",+442086576212,Sports injury clinic,5,,no_website
Evotone,,"288 Kensington High St, London W14 8NZ, United Kingdom",+442036330567,Weight loss service,5,,no_website
Eye Clinic at Westland Medical Centre,http://www.facebook.com/clearvisionmedicare,"Westland Ave, Hornchurch RM11 3SD, United Kingdom",+447757605008,Centro de oftalmología,,,social_media:facebook.com
Fertility In Community,https://fertilityincommunity.org.uk/,"Shackleton Medical Centre, Shackleton Rd, Southall, London UB1 2QH, United Kingdom",+447903511000,Bệnh viện phụ sản,,,timeout
Fertility in Community,https://fertilityincommunity.org.uk/,"Cavendish Rd, London SW19 2EZ, United Kingdom",+447903511000,Fertility physician,5,,timeout
Fertility in Community,http://fertilityincommunity.org.uk/,"The Selsdon Park Medical Practice, 97 Addington Rd, Selsdon, South Croydon CR2 8LG, United Kingdom",+442072052433,Fertility clinic,5,,timeout
FLOW NUTRITION,,"18 Widegate St, London EC1 7HU, United Kingdom",07807273358,Fertility clinic,5,,no_website
Foot health Clinic,https://foothealthclinic.setmore.com/,"Saunders House, 52-53 The Mall, London W5 3TA, United Kingdom",,Spa terapéutico,5,,http_error:429
For Your Foodies Nutrition Clinic for Families,https://www.katestronach.com/clinic,"London W1D 4EB, United Kingdom",+447564130641,Nutritionist,5,,connection_error
Forest Road Medical Centre,,"354-358 Forest Rd, London E17 5JL, United Kingdom",+442085207115,Medical Center,2.7,,no_website
Gold Medical Hair Transplant,,"C I C E K Group, 12 Genotin Terrace, Enfield EN1 2AF",02034882014,Hair transplantation clinic,,,no_website
Guy's & St Thomas',http://www.ivfdirect.com/,"Great Maze Pond, London SE1 9RT, United Kingdom",+442071882300,Fertility clinic,2.7,,connection_error
Hair Extensions Kingston,https://www.fresha.com/book-now/hair-extnsions-studio-t1atjn5r/all-offer?pId=242301,"Lancaster Gardens, Kingston upon Thames KT2 5NQ, United Kingdom",+442080892093,Hair replacement service,4.7,,http_error:404
Hair Transplant FUE and Skin Health Clinic Rubenhair Latvia,,"Kemp House, 152-160 City Rd, London EC1V 2NX, United Kingdom",+442036934488,Hair transplantation clinic,5,,no_website
Hair Transplant Insider’s Secrets,,"35 Mare St, London E8 4RP, United Kingdom",+442036744430,Hair transplantation clinic,3,,no_website
Hair Transplant Turkey,,"BPM 373487 Ali Sahin, 372 Old St, London EC1V 9LL, United Kingdom",,Phòng khám cấy tóc,,,no_website
Harley Street Hair Transplants london,https://www.harleystreethairtransplants.org/,"22a Harley St, London W1G 9PF, United Kingdom",+442080881333,Hair transplantation clinic,4.9,,http_error:403
Harley Street International Polyclinic - Health Screening London,,"104 Harley St, London W1G 7JD, United Kingdom",+442073108458,Health consultant,2.7,,no_website
Harley Street Men's Clinic Limited,,"10 Harley St, London W1G 9PF, United Kingdom",+442078594229,Health consultant,,,no_website
Harold Hill Health Centre,,"Gooshays Dr, Romford RM3 9SU, United Kingdom",+443003001857,Medical clinic,3.3,,no_website
Harold Wood Urgent Treatment Centre,,"St Clements Ave, Romford RM3 0FE, United Kingdom",,Urgent care center,2.4,,no_website
Hayes Eye Clinic,https://hayeseyeclinic.co.uk/,"814A Uxbridge Rd, Hayes UB4 0RS, United Kingdom",+442085611625,Eye care center,4.8,,connection_error
Health Clinic,,"286 Munster Rd, London SW6 6BQ",02073851965,Læge,3.2,,no_website
Heart of Hounslow,,"92 Bath Rd, Hounslow TW3 3EL, United Kingdom",+442037716000,Medical clinic,2,,no_website
Hijama Health Clinic,,"276 Barking Rd, London E6 3BA, United Kingdom",+447718884706,Phòng khám,3.4,,no_website
Holistic Fertility,,"Unit 7E - Clapham North Arts Centre, Hypoxi Clapham - 26-32 Voltaire Road, Clapham SW4 6DH, United Kingdom",+442035383216,Fertility clinic,,,no_website
Hormone Health Solutions,,"Winchmore Hill Clinic of Osteopathy & Natural Health, 925 Green Lanes, London N21 2PB, United Kingdom",+447811954739,Nutritionist,,,no_website
Hornchurch Clinic,,"33 Westland Ave, Hornchurch RM11 3SD، United Kingdom",,Medical clinic,,,no_website
HRT Clinic London - Dr Victoria Manning,,"11a W Halkin St, London SW1X 8JL, United Kingdom",02072358900,Poliklinik,,,no_website
Hua Ren Tang Chinese Medical Center,,"41 Kensington High St, London W8 5ED, United Kingdom",+442079372377,Clínica de acupuntura,4.1,,no_website
Hyperbaric Oxygen Therapy,https://www.humanictherapies.com/,"282 Old Brompton Rd, London SW5 9AS, United Kingdom",+442071014289,Hyperbaric medicine physician,,,http_error:404
Ian Charleson Day Centre,http://www.royalfree.nhs.uk/services/services-a-z/sexual-health-and-hiv/ian-charleson-day-centre/,"Pond St, London NW3 2QG, United Kingdom",+442037582029,Medical clinic,5,,http_error:403
ICE AESTHETIC® - 360° Bodyforming,https://www.ice-aesthetic.co.uk/cryolipolysis-london-knightsbridge/,"34 Hans Rd, London SW3 1RW, United Kingdom",,Weight loss service,,,http_error:404
Iconiq London Hair Clinic,http://www.iconiqlondonhairclinic.com/,"The Light Bulb, 1 Filament Walk, London SW18 4QG, United Kingdom",+447944344553,Hair replacement service,4.8,,connection_error
Intake Nutrition,,"87-89 Shepperton Rd, London N1 3DF, United Kingdom",+447795973111,Nutritionist,5,,no_website
IV Drip Clinic Harley Street,https://ivdrip.uk/iv-drip-clinic-harley-street/,"4 Harley St, London W1G 9QY, United Kingdom",+442075813877,Wellness center,,,http_error:404
IV Drip London,,"253 Acton Ln, London W4 5DG, United Kingdom",+447984937714,Health consultant,,,no_website
IV Drip Lounge UK,https://ivdriplounge.uk/,"360 Brighton Rd, South Croydon CR2 6AL, United Kingdom",,Trung tâm chăm sóc sức khỏe,,,ssl_error
IV Drips - Boost Your Body,https://www.facebook.com/profile.php?id=61555742336380,"8 Harborough Ave, Sidcup DA15 8HP, United Kingdom",+447792280133,Evde Sağlık Hizmeti,,,social_media:facebook.com
IV Drips Med,,"94 Harleyy Street , W1G 7HX, London W1G 7XH, United Kingdom",+442038870700,Sağlık Ocağı,5,,no_website
IV Therapy Near Bloomsbury,,"40b Bloomsbury St, London WC1B 3QJ, United Kingdom",,Centro de salud y bienestar,,,no_website
IV Therapy Near Buckhurst Hill,,"56b Queen's Rd, Buckhurst Hill IG9, United Kingdom",+447400481458,Wellness center,,,no_website
IV Therapy Near Canning Town,,"32b Barking Rd, London E6 3BP, United Kingdom",,Wellness center,,,no_website
Iv Therapy Near Chiswick,,"462A Chiswick High Rd., Chiswick, London W4 5TT, United Kingdom",+447897015517,Wellness center,,,no_website
Iv Therapy Near Denham,,"12 High St, Harefield, Uxbridge UB9 6BU, United Kingdom",+447360544289,Wellness center,,,no_website
Iv Therapy Near Elm Park,,"50 Station Ln, Hornchurch RM12 6NB، United Kingdom",+447360544289,,,,no_website
Iv Therapy Near Hadley Wood,,"6 Station Parade, Barnet EN4 0DL, United Kingdom",+447883320093,Wellness center,,,no_website
Iv Therapy Near Morden,,"105 Green Ln, Morden SM4 6SE, United Kingdom",+447400481458,Trung tâm chăm sóc sức khỏe,,,no_website
IVF Chelsea,,"369 Fulham Rd., London SW10 9NH, United Kingdom",+442077365997,Centro de planificación familiar,1,,no_website
IVF CLINIC UK,,"Consulting Rooms, 104 Harley St, London W1G 7JD, United Kingdom",+447710831760,Hospital,5,,no_website
IVF Treatment,,"107 Fleet St, London EC4A 2AB, United Kingdom",+442086190760,Fertility clinic,,,no_website
IVFAustralia Greenwich,https://www.ivf.com.au/clinics/greenwich-fertility-clinic,"Level 2/176 Pacific Hwy, Greenwich NSW 2065, Úc",+61294251600,Bệnh viện phụ sản,3,,http_error:403
Jefferiss Wing Sexual Health Clinic,https://www.imperial.nhs.uk/our-services/sexual-health-and-hiv,"Winsland St, London W2 1DL, United Kingdom",+442033121225,Reproductive health clinic,4.2,,http_error:403
Julia Engwell Clinic,,"Woodward Rd, Dagenham RM9 4SR, United Kingdom",+442085925500,Medical clinic,2.7,,no_website
Life Line Screening,,"23 Inner Park Rd, London SW19 6ED, United Kingdom",+448081788619,Medical clinic,,,no_website
LifePlus Stem Cells,,"27 Welbeck St, London W1G 8EN, United Kingdom",,Clinique,4.9,,no_website
Lister Fertility Clinic at The Shard,,"St Thomas St, London SE1 9BS, United Kingdom",+442077305932,Fertility clinic,1,,no_website
London Canary Wharf (Crossrail Place) Bupa Centre,https://www.bupa.co.uk/health/health-assessments/our-centres/canary-wharf-crossrail,"1 Crossrail Place Level Zero,Retail Mall Unit 20, London E14 5AR, United Kingdom",+442072562462,Medical Center,3.8,,http_error:403
London Hair Club,https://londonhairclub.uk/hello-world/,"90 Chatsworth Rd, Lower Clapton, London E5 0LS, United Kingdom",+447349916202,Hair replacement service,5,,connection_error
LONDON HYPERBARIC AND WOUND HEALING CENTRE,,"Whipps Cross University Hospital, Whipps Cross Rd, London E11 1NR, United Kingdom",+442085391222,Clinique,4.6,,no_website
London K9 Fertility Lab,https://instagram.com/london_k9_fertility_lab?igshid=YmMyMTA2M2Y=,"220 Jamaica Rd, London SE16 4BD, United Kingdom",+447780659611,Clinique de fertilité,5,,social_media:instagram.com
London Obesity Clinic,,"242 Marylebone Rd, London NW1 6JQ, United Kingdom",+442072342164,Weight loss service,,,no_website
London's Specialist Allergy Centre,,"60 Grove End Rd, London NW8 9NH, United Kingdom",+442078064060,Medical Center,,,no_website
Louise Parker at the Wellness Clinic,,"Harrods, 87-135 Brompton Rd, London SW1X 7XL, United Kingdom",+442072255678,Wellness center,,,no_website
Luxe Vita Wellness,https://luxevitawellness.com/,"130 Uxbridge Rd, London W13 8QS, United Kingdom",+447982828702,Medical clinic,4.8,,timeout
Margot Nutrition,https://margotnutrition.co.uk/,"803a Wandsworth Rd, London SW8 3JH, United Kingdom",+447503390339,Nutritionist,5,,http_error:404
Marlborough Clinic,,"Royal Free Hospital, Pond Street, London NW3 2QG, United Kingdom",+442078302047,Medical clinic,4.3,,no_website
Masroor Eye Institute,http://mei2020.org/,"33 Gressenhall Rd, London SW18 5QH, United Kingdom",+442088746630,Eye care center,5,,http_error:503
Mayfair Medics,https://www.mayfairmedics.co.uk/,"33 Cavendish Square, London W1G 0PW, United Kingdom",+447418640991,Sports medicine clinic,5,,http_error:404
Maylin Regenerative Centre,https://www.maylinjyd.com/,"45 Albemarle St, London W1S 4JL, United Kingdom",+442079353030,Medical clinic,,,ssl_error
Medical Center Knightsbridge,https://www.casablancaclinic.uk/,"156 Brompton Rd, London SW3 1HW, United Kingdom",+447539105450,Health and beauty shop,4.9,,connection_error
Melburay Clinic,https://www.instagram.com/melburayclinic/,"Unit 2, Alexandra Mews, 5 Royal Parade, Donna BR7 6NR, United Kingdom",+447481880849,Wellness center,5,,social_media:instagram.com
Mens Health Screening,,"101 Harley St, London W1G 6AH, United Kingdom",+441895628890,Medical clinic,,,no_website
Metis Diagnostics – Private Blood Tests in London,,"10 Harley St, London W1G 9PF, United Kingdom",,Blood testing service,5,,no_website
Michelle Mulliss Natural Women’s Health Clinic,http://michellemulliss.com/,"10 Harley St, London W1G 9PF, United Kingdom",+442082426508,Fertility clinic,4.9,,http_error:404
Miles Parnell Ophthalmology,http://www.milesparnell.com/,"Private Health, Hospital, Galsworthy Rd, Kingston upon Thames KT2 7QB, United Kingdom",+442034944395,Göz Doktoru,5,,connection_error
Mobile Iv Therapy Barnehurst,,"Barnehurst Rd, Bexleyheath DA7 6HD, United Kingdom",,Tedavi Amaçlı Kaplıca,,,no_website
Mobile Iv Therapy Dulwich,,"Seeley Dr, London SE21 8QR, United Kingdom",+447897033152,Wellness center,,,no_website
Mobile Iv Therapy Ealing,,"The Mall, London W5 5LS, United Kingdom",+447883320305,Wellness center,,,no_website
Mobile Iv Therapy Eltham,,"128 Eltham High St, London SE9 1BJ, United Kingdom",+447360544289,Wellness center,,,no_website
Mobile Iv Therapy High Barnet,,"High St, Barnet EN5 5XQ, United Kingdom",+447361595896,Wellness center,,,no_website
Mobile IV Therapy London,,"King's Rd, London SW3 5EL, United Kingdom",+447723459819,Medical spa,,,no_website
Mobile IV Therapy Lower Clapton,,"Lower Clapton Rd, Lower, London E5 0RN, United Kingdom",,Wellness center,,,no_website
Mobile IV Therapy Peckham,,"Choumert Rd, London SE15 4SE, United Kingdom",+447897033152,Wellness center,,,no_website
Mobile IV Therapy Ruislip,,"106A High St, Ruislip HA4 8LS, United Kingdom",+447883320305,Wellness center,,,no_website
Mobile IV Therapy Walthamstow,,"Hoe St, London E17 4PH, United Kingdom",+447400481458,Wellness center,,,no_website
Mojo Male Fertility Clinic,https://mymojo.ai/,"103 Drysdale St, London N1 6ND, United Kingdom",,Fertility clinic,3,,http_error:402
Montana Road Nutrition,,"26 Montana Rd, London SW20 8TW, United Kingdom",+447909393798,Nutritionist,,,no_website
Moorfields Community Eye Clinic,https://www.moorfields.nhs.uk/locations/moorfields-barking-hospital,"Barking Hospital Rd, Upney Ln, Barking IG11 9LX, United Kingdom",+442036442320,Centro de oftalmología,3.8,,http_error:500
Moorfields Community Eye Clinic at Parkway Health Centre,https://www.moorfields.nhs.uk/locations/moorfields-parkway-health-centre,"Parkway, New Addington, Croydon CR0 0JA, United Kingdom",+442077025545,Eye care center,3,,http_error:500
Moorfields Private Eye Centre,https://www.moorfields.nhs.uk/private,"50-52 New Cavendish St, London W1G 8TL, United Kingdom",+448003283421,Eye care center,4.2,,http_error:500
Mr Shakti Vyas.,,"9-11 Bath St, London EC1V 9LF, United Kingdom",+447949050538,Eye care center,5,,no_website
My Hair Transplant Clinics,,"2 Basing Hill, Wembley HA9 9QW, United Kingdom",,Medical clinic,,,no_website
My Pure Aesthetics,,"353 Upper Richmond Rd, London SW15 5QJ, United Kingdom",+442034883020,Medical clinic,4.9,,no_website
National Nutrition Clinic,,"37 Kew Rd, Richmond TW9 2NQ, United Kingdom",+448451307832,Nutricionista,,,no_website
National Slimming and Cosmetic Clinic Hownslow,,"9, Red Lion Court, Alexandra Rd, Hounslow TW3 1JS, United Kingdom",+447572131021,Weight loss service,4.8,,no_website
Neo Me Nutrition,,"565 Green Lanes, Harringay Ladder, London N8 0RL, United Kingdom",+447904780029,Nutritionist,5,,no_website
New Life Fertility,,"54 Tufton St, London SW1P 3RA, United Kingdom",+442072224222,Bệnh viện phụ sản,5,,no_website
New Moon Fertility & Womb Massage Therapy,,"Birchwood Rd, Dartford DA2 7HQ, United Kingdom",,Fertility clinic,5,,no_website
New York Dermatology Group at the Wellness Clinic,,"The Wellness Clinic, 87-135 Brompton Rd, London SW1X 7XL, United Kingdom",02081030270,Centro de salud y bienestar,,,no_website
North London Slimming Clinic,,"16 Uvedale Rd, Enfield EN2 6HB, United Kingdom",+447960862929,Medical clinic,2.5,,no_website
Nutritious Adventures,https://nutritiousadventures.com/,"Sutton Lane Gymnasium, Chiswick, London W4 4LD, United Kingdom",,Weight loss service,5,,error:TooManyRedirects
Oak Farm Clinic,,"Long Ln, Uxbridge UB10 9PB, United Kingdom",+441895484810,Medical clinic,4.7,,no_website
One Health Check,https://onehealthcheck.co.uk/,"635A Cranbrook Rd, Ilford IG2 6SX, United Kingdom",+442039047706,Medical group,5,,http_error:403
OR'Si Skin Specialist,,"148 Balgores Ln, Gidea Park, Romford RM2 6BP, United Kingdom",+441708500637,Cơ sở chăm sóc da,,,no_website
Patrick Clements Sexual Health Centre,,"Acton Ln, London NW10 7NS, United Kingdom",+442084532221,Medical clinic,3.2,,no_website
pH Nutrition,,"WIT Training, 1 New Change, London EC4M 9AF, United Kingdom",+447700169983,Nutritionist,4.9,,no_website
Porchester Sports Injury Clinic,,"89 Queensway, London W2 3RY, United Kingdom",+442038355296,Vật lý trị liệu,5,,no_website
Private Clinic Group,http://www.privateclinicgroup.com/,"98 Harley St, London W1G 9QY, United Kingdom",+447598855955,Medical Center,1,,ssl_error
Private Doctor Clinic,,"295 King's Rd, London SW3 5EP، United Kingdom",+442034746300,Medical clinic,4.6,,no_website
Private Doctor Clinic,,"651A Fulham Rd., London SW6 5PX، United Kingdom",+443330093138,Medical clinic,,,no_website
Private Doctors Incorporated,,"17 Hanover Square, London W1S 1HU, United Kingdom",+442075180350,Medical clinic,,,no_website
Private GP with interest in cardiology,,"Millet Rd, Greenford UB6 9SG, United Kingdom",+447938095700,Medical clinic,4,,no_website
Proactive Sports Medicine,,"2, The Institute of Sport, 170 Tottenham Ct Rd, London W1T 7HA, United Kingdom",+442089707435,Sports medicine clinic,,,no_website
Project Alpha,http://www.project-alpha.co.uk/,"301-305 High St, Croydon CR0 1QL, United Kingdom",+447799298216,Medical clinic,5,,connection_error
Pulse Light Clinic,https://www.pulselightclinic.co.uk/,"1st Floor, 20 Eastcheap, London EC3M 1DT, United Kingdom",+442075235158,Weight loss service,4.5,,http_error:403
"Rachel Clarkson, The DNA Dietitian",https://thednadietitian.co.uk/,"10 Harley St, London W1G 9PF, United Kingdom",02071267101,Nutritionist,5,,ssl_error
Rebas Medical Clinic,,"63 Bondway, London SW8 1SJ, United Kingdom",+442070428339,Medical clinic,3,,no_website
Regenerative Wellbeing - Canary Wharf,,"Cabot place West (RS160 Opposite Space NK, Canary Wharf Estate, London E14 4QS, United Kingdom",+442036375566,Clínica ambulatoria,4.9,,no_website
