name,website,address,phone,category,rating,reviews_count
A&M Health Clinic - Massage Services,https://www.amhealthclinic.co.uk/,"98 Cleveland St, London W1T 6NR, United Kingdom",+442073888199,Massage parlor,4.9,
Abbey Medical Centre,http://www.abbeymedicalcentrebarking.co.uk/,"1 Harpour Rd, Barking IG11 8RJ, United Kingdom",+442080908106,Phòng khám,3.1,
"abc ivf London, part of CREATE Fertility",https://www.abcivf.co.uk/our-clinics/london,"150 Cheapside, London EC2V 6ET, United Kingdom",+442081316854,Fertility clinic,4.3,
"abc ivf loughton, part of CREATE Fertility",https://www.abcivf.co.uk/our-clinics/loughton,"Health Centre, Rectory Ln, Loughton IG10 3RU, United Kingdom",+442081033099,Fertility clinic,4.7,
"abc ivf St Albans, part of CREATE Fertility",https://www.abcivf.co.uk/our-clinics/st-albans,"Colney Medical Centre, 45-47 Kings Rd, London Colney, St Albans AL2 1ES, United Kingdom",+441727532284,Fertility clinic,4.3,
"abc ivf Wimbledon, part of CREATE Fertility",https://www.abcivf.co.uk/our-clinics/london-wimbledon,"St George's House, 3-5 Pepys Rd, London SW20 8NJ, United Kingdom",+442081310027,Fertility clinic,4,
AccuVision - Laser Eye Clinic,https://www.accuvision.co.uk/,"42-48 New Kings Rd, London SW6 4LS, United Kingdom",+443301232020,Eye care center,4.7,
Ace Skin Health Clinic,https://aceskinhealthclinic.co.uk/,"337 Caledonian Rd, London N1 1DW, United Kingdom",+442081431682,Skin care clinic,5,
Acorn Fertility,https://acornfertility.co.uk/,"Cavendish Rd, London SW19 2EZ, United Kingdom",,Fertility clinic,4.7,
Active Inside Out,http://activeinsideout.com/,"396 Queensgate Gardens, Upper Richmond Rd, London SW15 6AN, United Kingdom",,Sports medicine clinic,,
Adare Dermatology,https://www.adaredermatology.co.uk/,"18 Park Walk, London SW10 0AQ, United Kingdom",+442037693937,Medical clinic,5,
Adman La Clinique - Private Dietitian,https://www.admanlaclinique.com/,"Unit 4, 10 Portman Square, London W1H 6AZ, United Kingdom",,Dietitian,5,
Advanced Nutrition Clinic,http://www.advancednutritionclinic.co.uk/,"The Charterhouse Clinic, 98 Crawford St, London W1H 2HL, United Kingdom",07799148013,Nutritionist,5,
Aesculus Clinic,https://www.aesculusclinic.com/,"41 Beauchamp Pl, London SW3 1NX, United Kingdom",+447385903564,Wellness center,5,
AesthetiCare Clinic by Dr Khaula Safdar,https://aestheticareclinic.co.uk/,"87 Moorgate, London EC2M 6SA, United Kingdom",+447931913489,Medical spa,5,
Aesthetics by Dr Jemma,https://www.drjemma.com/,"Old Power Station, Clinic 202 - Aesthetics by Dr Jemma (Hanger Lane Clinic, Wow Workspaces Ealing, Western Ave, Brentham Garden Suburb, London W5 1HS, United Kingdom",+447701349600,Medical clinic,5,
Ahara Nutrition,http://www.aharanutrition.com/,"Token House, Tokenhouse Yard, London EC2R 7AS, United Kingdom",+447545807624,Nutritionist,5,
Ahmed R Ahmed,https://www.ahmedr.com/,"108 Harley St, London W1G 7ET, United Kingdom",+447973228331,Weight loss service,5,
AIS Health Check - Chelsea,https://www.aishealthcheck.co.uk/,"Randox Health, 346 King's Rd, London SW3 5UR, United Kingdom",+442078713015,Medical laboratory,5,
AIS Health Check - Kensington,https://www.aishealthcheck.co.uk/,"Randox Health, 143 Kensington High St, London W8 6SU, United Kingdom",+442078713015,Medical laboratory,5,
Alessandra Furlan,http://www.alessandrafurlan.co.uk/,"Ground Floor, St Magnus House, 3 Lower Thames St, London EC3R 6HD, United Kingdom",+447740344546,Nutritionist,5,
Algocells,http://www.algocells.com/,"Jorja Healthcare, 10 Eastbourne Terrace, London W2 6LG, United Kingdom",+448006891474,Medical clinic,4.2,
All East Sexual Health Clinic Stratford - Please check the All East website for information on our Saturday Clinics,http://alleast.nhs.uk/,"2nd Floor, Sir Ludwig Guttmann Health & Wellbeing Centre, 40 Liberty Bridge Rd, East Village, London E20 1AS, United Kingdom",02074804737,Clínica ambulatoria,2,
"Allergy London, Private Allergy Clinic",http://www.allergylondon.com/,"HCA Healthcare UK Outpatients & Diagnostics Centre The Shard, St Thomas St, London SE1 9BS, United Kingdom",+442037589160,Bác sĩ chuyên khoa dị ứng,,
"Allergy, Intolerance and Sensitivity Test Clinic",http://www.allergytest-london.co.uk/london-clinic,"45a Rathbone St, London W1T 1NW, United Kingdom",+447951740423,Medical clinic,4.8,
Allon Barsam laser eye surgery,https://www.oclvision.com/consultants/allon-barsam/,"55 New Cavendish St, London W1G 9TF, United Kingdom",+442033692020,Lasik surgeon,5,
Alma Fertility,https://www.almafertility.com/,"Turbine Hall, B, Battersea Power Station, London SW11 8DD, United Kingdom",+442038735848,Fertility clinic,5,
Alternative Medical Centre & Spa,https://www.amedicalcentrespa.co.uk/home,"341 Ley St, Ilford IG1 4AA, United Kingdom",+447350026922,Medical Center,5,
Altrui,https://www.altrui.co.uk/,"Fox Court, 14 Gray's Inn Rd, London WC1X 8HN, United Kingdom",+441969667875,Fertility clinic,,
AM Aesthetics London,http://amaestheticslondon.co.uk/,"180 Finchley Rd, London NW3 6BP، United Kingdom",+447413696979,Medical clinic,4.9,
Ambrose King Sexual Health Centre,https://alleast.nhs.uk/,"The Royal London Hospital, Mount Terrace, London E1 2BB, United Kingdom",+442074804737,Specialized clinic,3.4,
AMSK Clinic,https://www.amsk.co.uk/,"9 Harley St, London W1G 9QY, United Kingdom",+442079657268,Medical Center,5,
Andrology Solutions,http://www.andrologysolutions.co.uk/,"75 Wimpole St, London W1G 9RS, United Kingdom",+442072242322,Fertility clinic,4.7,
Angelique Panagos,https://angeliquepanagos.com/,"58 S Molton St, London W1K 5SL, United Kingdom",,Nutritionist,5,
Apex Reproductive Health Care,https://www.apexfertility.co.uk/,"28 High Rd, London E18 2QL, United Kingdom",+447554042557,Bệnh viện phụ sản,,
Apogii Clinic (Get A Drip),https://www.apogiiclinic.co.uk/,"105 Westbourne Grove, London W2 4UW, United Kingdom",+442072298580,Wellness center,4.8,
AR Pro Performance,http://www.arproperformance.com/,"UNTIL, 280 Liverpool St, Bishops Square, London EC2M 4RB, United Kingdom",,Sports medicine clinic,5,
ARGC,https://argc.co.uk/,"13 Upper Wimpole St, London W1G 6LP, United Kingdom",+442074861230,Fertility clinic,3.5,
Aria Fertility,https://ariafertility.co.uk/,"8 Welbeck Way, London W1G 9YL, United Kingdom",+442032636025,Fertility clinic,4.6,
Astral Skin Clinic,https://www.astralskinclinic.com/,"2 Tudor Grove, London E9 7QL, United Kingdom",+447743548637,Weight loss service,5,
Avenues,https://avenues.life/,"2 Barnby St, London NW1 1AA, United Kingdom",+442045801500,Fertility clinic,4.5,
Awesco Nutrition,https://www.awesconutrition.com/,"17 Wellington Rd, Enfield EN1 2PE, United Kingdom",+447958058070,Nutritionist,5,
Back to Balance Test Clinic,https://www.backtobalancetest.com/,"92 Old Brompton Rd, South Kensington, London SW7 3LQ, United Kingdom",+447400210269,Health consultant,5,
Balance My Hormones,https://balancemyhormones.co.uk/,"19 Westmoreland Rd, London NW9 9BW, United Kingdom",02039003209,Poliklinik,4.9,
Baldo and Mason,https://www.baldoandmason.com/,"23 Bolton Gardens, London SW5 0AQ, United Kingdom",+447476739750,Nutritionist,5,
Baltic Medical Centre,http://www.balticmedicalcentre.co.uk/,"Unit 121 Meridian Pl, London E14 9FF, United Kingdom",+442075152714,Dermatologist,4.1,
Bariatric Surgery weight loss centre,https://londonf.prohealthbariatrics.com/,"11 Richmond Rd, Kingston upon Thames KT2 5BW, United Kingdom",,Phòng khám,,
Basuto Medical Centre,http://basuto.com/,"29 Basuto Rd, London SW6 4BJ, United Kingdom",+442077367557,Medical Center,4.5,
"Battersea & Nine Elms Outpatients, part of HCA Healthcare UK",https://www.hcahealthcare.co.uk/locations/outpatients/the-lister-hospital/battersea-and-nine-elms-outpatients,"12 Charles Clowes Walk, Nine Elms, London SW11 7AD, United Kingdom",+442078249420,Medical Center,5,
"Batth Medicals | Blood Tests, Ultrasound Scans, ECG & IV Drip Therapy",https://batthmedicals.co.uk/,"70 High Rd, Romford RM6 6PP, United Kingdom",+447438026874,Sağlık Ocağı,4.9,
Beckenham Sexual Health Walk in Clinic,https://www.sexualhealthbromley.co.uk/clinics/beckenham-beacon-sexual-health-clinic,"379 Croydon Rd, Beckenham BR3 3QL, United Kingdom",+441689866622,Medical clinic,3.1,
Belgravia Centre,http://www.belgraviacentre.com/,"9 Longmoore St, Pimlico, London SW1V 1JH, United Kingdom",+442077306666,Hair replacement service,4.8,
Belgravia Dermatology,https://belgraviadermatology.co.uk/,"9A Wilbraham Pl, London SW1X 9AE, United Kingdom",+447796017018,Dermatologist,4.3,
Belmont Medical Centre,http://www.thebelmontmedicalcentre.co.uk/,"53-57 Belmont Rd, Middlesex, Uxbridge UB8 1SD, United Kingdom",+441895233211,Medical clinic,2.9,
Belvedere Medical Centre,http://www.belvederemedicalcentre.co.uk/,"15 Albert Rd, Belvedere DA17 5LQ, United Kingdom",+441322446700,Medical Center,2.4,
Bexley Complementary Health Clinic,http://bexleycomplementaryhealth.co.uk/,"41a Bourne Rd, Bexley DA5 1LW, United Kingdom",+441322527292,Osteopata,5,
"Bexley Medical Group, Hurst Place Surgery",http://www.bexleymedicalgroup.co.uk/,"294a Hurst Rd, Bexley DA5 3LH, United Kingdom",+442083031127,Medical clinic,3.5,
Bexley Wellness - Colonic Hydrotherapy Kent,https://www.bexleymassageandwellness.co.uk/,"34 Parkhill Rd, Bexley DA5 1JG, United Kingdom",+447947677780,Weight loss service,5,
Bexley's Sexual Health,http://bexleysexualhealth.org/,"Oxleas SRH Service @ The Albion Surgery, 6 Pincott Rd, Bexleyheath DA6 7LP, United Kingdom",+442083018920,Clinique,5,
Bicom Allergy and Intolerance Testing Instant Results - Longevity - Detox - Lyme,http://www.allergytestings.com/,"92 Old Brompton Rd, South Kensington, London SW7 3LQ, United Kingdom",+447918623623,Nutritionist,5,
Black Hair Clinic,http://www.blackhairclinic.com/,"49 Effra Rd, London SW2 1BZ, United Kingdom",+442034684244,Hair care service,5,
Blackfen Medical Centre,https://www.newelthammedicalcentre.co.uk/,"161 Blackfen Rd, Sidcup DA15 8PL, United Kingdom",+442088595881,Medical Center,2.6,
Blackheath Sports Medicine | LBSM Group,https://lbsm.co.uk/locations/blackheath/,"40-42 Lee Terrace, Blackheath, London SE3 9UD, United Kingdom",+442072947671,Sports medicine clinic,5,
Blend Clinic,https://blendclinic.co.uk/,"Fromondes Rd, Cheam, Sutton SM3 8QR, United Kingdom",+447947000643,Sports medicine clinic,5,
Blood Testing,https://blood-testing.com/,"149 Masons Hill, Bromley BR2 9HW, United Kingdom",+442034889448,Dịch vụ xét nghiệm máu,,
Blood Tests London,https://www.bloodtestslondon.com/,"76 Wimpole St, London W1G 9RT, United Kingdom",,Blood testing service,4.8,
Bloomsbury of London,https://www.bloomsburyhair.com/,"27, 28 Eastcastle St, London W1W 8DH",02074046040,Hair replacement service,4.6,
Blue Fin Vision,https://bluefinvision.com/,"22A Harley St, London W1G 9PB, United Kingdom",+447704225640,Eye care center,4.9,
Blue Fin Vision - Eye Clinic North London,https://bluefinvision.com/locations/chase-lodge-hospital/,"Chase Lodge Hospital, Page St, London NW7 2ED, United Kingdom",+447704225640,Eye care center,,
Body Shape Therapy,http://bodyshapetherapy.co.uk/,"60 St Martins Lane, London Spaces, London WC2N 4JS, United Kingdom",+447799905436,Weight loss service,5,
Bodylogy Clinic,https://www.bodylogyclinic.com/,"545C High Rd, London N17 6SB, United Kingdom",+447350034005,Health and beauty shop,5,
Bodyset,https://www.bodyset.co.uk/clinic/fulham/,"The Gym Group, Fulham, 254-258 North End Rd, Clem Attlee Court, London SW6 1NJ, United Kingdom",+443303330435,Sports medicine clinic,4.9,
Bodyset,https://www.bodyset.co.uk/clinic/hampstead/,"7-9 Pond St, London NW3 2PN, United Kingdom",+443303330435,Sports medicine clinic,5,
BOOST PHYSIO - Kensington,https://boostphysio.com/kensington-physiotherapy-clinic/,"3rd Floor, Virgin Active Gym, 17A Old Ct Pl, London W8 4PL, United Kingdom",+442082017788,Sports medicine clinic,5,
BOOST PHYSIO - Swiss Cottage,http://www.boostphysio.com/,"Virgin Active- Swiss Cottage Unit 2, O2 Centre, 255 Finchley Rd, London NW3 6LU, United Kingdom",+442082017788,Sports medicine clinic,5,
"Bourn Hall Fertility Clinic, Wickford",https://www.bournhall.co.uk/our-family/our-clinics/essex/,"25 London Rd, Wickford SS12 0AW, United Kingdom",+441268661700,Bệnh viện phụ sản,4.8,
Brackenbury Natural Health Clinic,http://brackenburyclinic.com/,"30 Brackenbury Rd, London W6 0BA, United Kingdom",+442087419264,Alternative medicine practitioner,4.5,
Brain Health Clinic,http://thebrainhealth.co.uk/,"Online, 85 Wimpole St, London W1G 9RJ, Велика Британія",+442071831229,,4.8,
Bridgette Mansfield,http://www.123relax.co.uk/,"30 Cheyne Walk, London N21 1DA, United Kingdom",+447932084321,Weight loss service,5,
British Allergy Clinic London,https://www.britishallergyclinic.com/,"10 Harley St, London W1G 9PF, United Kingdom",+447587840618,Phòng khám,5,
Bromley Contraception & Reproductive Health Service,http://www.sexualhealthbromley.co.uk/,"379 Croydon Rd, Beckenham BR3 3QL, United Kingdom",+441689866622,Phòng khám sức khỏe sinh sản,1.8,
Bromley wellness clinic,http://bromleywellnessclinic.co.uk/,"ELLIOT HOUSE, 4 Elliott Rd, Bromley BR2 9NU, United Kingdom",+442036321824,Wellness center,,
Brook Euston (under 25s) Sexual Health,https://www.brook.org.uk/service/brook-euston/,"92-94 Chalton St, London NW1 1HJ, United Kingdom",+442073878700,Reproductive health clinic,3.7,
Béa Fertility,http://www.beafertility.com/,"138-142 Holborn, London EC1N 2SW, United Kingdom",,Fertility clinic,4.6,
Camberwell Sexual Health Centre,https://www.kch.nhs.uk/service/a-z/sexual-health,"Camberwell Building, 100 Denmark Hill, London SE5 9RS, United Kingdom",+442032995091,Family planning center,3.3,
Camden Bone & Joint,https://camdenboneandjoint.com/,"1112 Mill St, Camden, SC 29020",+18034324498,Sports medicine clinic,3.1,
Camden Holistic Health Clinic,https://www.drsandracabotclinics.com.au/,"146/148 Argyle St, Camden NSW 2570",0246554666,Holistic medicine practitioner,,
Canary Wharf Clinic,https://www.canarywharfclinic.co.uk/,"121 Meridian Pl, London E14 9FF, United Kingdom",+442034050863,Medical Center,4.7,
Canary Wharf Sports Medicine | LBSM Group,https://lbsm.co.uk/locations/canary-wharf/,"40 Bank St, Canary Wharf Estate, London E14 5NR, United Kingdom",+442072947671,Sports medicine clinic,,
Capital Hair Restoration,https://www.capitalhairrestoration.co.uk/hair-transplant-harley-street-london/,"10 Harley St, London W1G 9PF, United Kingdom",02080882393,Hårtransplantationsklinik,5,
Capital Hair Restoration,https://www.capitalhairrestoration.co.uk/bromley-hair-transplant/,"One Elmfield Park, Bromley BR1 1LU, United Kingdom",+442080882393,Hair transplantation clinic,,
Capital Orthopedics and Sports Medicine,http://www.simonmoyes.com/,"Basinghall Clinic, 4 Basinghall St, London EC2V 5BQ, United Kingdom",+442073230040,Orthopäde,5,
Care Fertility,https://info.carefertility.com/contact-us,"Park Lorne, 111 Park Rd, London NW8 7JL, United Kingdom",+442076166767,Clínica de reproducción asistida,4,
Carol Lowndes Nutrition,http://www.carollowndes.uk/,"37 Queen Anne St, London W1G 8JB, United Kingdom",07471100211,Nutritionist,5,
Carolina Capellari Simon Harley Street Nutritionist & Weight Loss - Nutricionista em Londres,https://nutricionistaemlondres.sumupstore.com/,"23 Harley St, London W1G 9QN, United Kingdom",+5551984991608,Weight loss service,5,
Caroline Farrell Nutrition,http://carolinefarrell.com/,"The Hub, 5 Wormwood St, London EC2M 1RQ, United Kingdom",+447958004887,Nutritionist,5,
Cassidy Medical Centre,http://www.cassidymedicalcentre.co.uk/,"651A Fulham Rd., London SW6 5PX, United Kingdom",+442073844850,Medical clinic,4.2,
Cataract Doctor - Professor Paul Ursell,https://cataract-doctor.com/,"Parkside Hospital, 53 Parkside, London SW19 5NX, United Kingdom",+448456802020,Eye care center,4.9,
Catherine Borysiewicz Dermatology,http://www.cb-dermatology.com/,"King Edward VII Medical centre, 50-54 Beaumont St, London W1G 6DW, United Kingdom",+447395826457,Bác sĩ da liễu,4.7,
Cavendish Clinic,http://www.cavendishclinic.co.uk/,"65 Margaret St, London W1W 8SP, United Kingdom",+442079354410,Weight loss service,4.4,
CDC,http://www.citydermatologyclinic.com/,"Eastcheap, London EC3M 1EB, United Kingdom",+442080505981,Dermatolog,3,
Central IVF,https://centralivf.com/,"Endeavour House, 78 Stafford Rd, Wallington SM6 9AY, United Kingdom",,Fertility clinic,,
Central Medical Centre,http://www.centralmedicalcentre-morden.nhs.uk/,"44-46 Central Rd, Morden SM4 5RT, United Kingdom",+442086489126,Bác sĩ thực hành tại nhà,2.1,
Chao MD PhD,http://www.myacupunctureinlondon.co.uk/,"5 Manston Grove, Kingston upon Thames KT2 5GF, United Kingdom",+442082871007,Fertility clinic,3,
Chase Health- Hyperbaric Oxygen Therapy - hbot home,https://chasehealth.shop/,"411 Kingston Rd, Wimbledon Chase, London SW20 8JS, United Kingdom",+442084326454,Wellness center,5,
CHEK Personal Training – Battersea London,https://activebryantsystems.com/personal-trainer-in-battersea/,"188 Ashley Cres, London SW11 5QZ, United Kingdom",+447352316943,Weight loss service,4.8,
Chelsea Bridge Clinic,http://www.chelseabridgeclinic.com/,"Ground Floor, Riverfront, 368 Queenstown Rd, London SW11 8NN, United Kingdom",+442076222252,Medical diagnostic imaging center,4.8,
Chelsea Medics (Marylebone Branch),https://www.chelseamedics.co.uk/marylebone/,"41 Welbeck St, London W1G 8DW, United Kingdom",+442039555444,Medical clinic,,
Chelsea Outpatient Centre,https://www.hcahealthcare.co.uk/locations/outpatients/the-lister-hospital/chelsea-outpatients,"280 King's Rd, London SW3 5AW، United Kingdom",+442078814114,Medical clinic,4.3,
Cherub London - Trichology Clinic & Hair Salon,http://cherub-london.com/,"Barney Cl, London SE7 8SX, United Kingdom",+447947898629,Hiệu làm tóc,4.1,
Chestnut Practice,http://www.chestnutpractice.nhs.uk/,"92 Bath Rd, Hounslow TW3 3EL, United Kingdom",+442086301400,Medical clinic,2.1,
Chiltern Private,https://www.chilternprivate.co.uk/,"Queen Mother's Dr, Denham Garden Village, Denham, Uxbridge UB9 5GA, United Kingdom",+441895730054,Medical clinic,4.9,
Chinese Medical Centre,http://www.chinesemedicalcentrebarnet.co.uk/,"145B High St, Barnet EN5 5UZ، United Kingdom",+442084416478,,4.8,
Chiswick Clinic,https://chiswickclinic.com/,"5 Chardin Rd, Chiswick, London W4 1RJ, United Kingdom",+442038414800,Dermatologist,4.8,
Chiswick Outpatients,https://www.hcahealthcare.co.uk/locations/outpatients/the-lister-hospital/chiswick-outpatients,"Bond House, 347-353 Chiswick High Rd., Chiswick, London W4 4HS, United Kingdom",+442035539450,Medical clinic,4.3,
City Dermatology Clinic London,https://citydermatologyclinic.com/,"4 Harley St, London W1G 9PB, United Kingdom",+442080505981,Dermatolog,4.9,
City Dermatology Clinic London,https://citydermatologyclinic.com/,"First Floor, 65/66 Queen St Pl, London EC4R 1EB, United Kingdom",+442080505981,Centru chirurgical,4.9,
City Dietitians,http://citydietitians.co.uk/,"Virtual Clinic, Wenlock Rd, London N1 7GY, United Kingdom",+447935348695,Nutritionist,5,
City Sight Eye Care Services,https://citysight.city.ac.uk/,"City, University of, Ashby St, Northampton Square, London EC1V 0HB, United Kingdom",+442070408338,Eye care center,4.9,
City Skin Doctor,http://www.cityskindoctor.co.uk/,"396 Harrow Rd, Maida Hill, London W9 2HU, United Kingdom",+442072898989,Cơ sở chăm sóc da,4.5,
Clapham Family Practice,http://claphamfamilypractice.co.uk/,"89 Clapham High St, London SW4 7DB, United Kingdom",+442034746070,Medical clinic,3.4,
Clapham Park Dermatology,https://www.claphamparkdermatology.com/,"162 Clapham Park Rd, London SW4 7DE, United Kingdom",+447383545228,Bác sĩ da liễu,5,
Clapham Park Group Practice,http://www.claphamparkgp.com/,"72 Clarence Ave, London SW4 8JP, United Kingdom",+442086785420,Medical clinic,4.1,
Clarissa Lenherr,https://clarissalenherr.com/,"39 Harley St, London W1G 8QH",07919575777,Nutritionist,5,
Clarity Wandsworth,https://www.clarityhealthcare.uk/,"The Filaments, 6 Buckhold Rd, London SW18 4GP, United Kingdom",+443330387578,Ophthalmology clinic,,
Clear Ear Clinic,http://www.clearearclinic.com/,"Flat 3, Lister House, 11-12 Wimpole St, London W1G 9ST, United Kingdom",+442074956314,Medical clinic,4.8,
Clear Earwax Clinic Baker Street,http://clearearwax.co.uk/,"Unit 4, 10 Portman Square, London W1H 6AZ, United Kingdom",+443308183133,Medical clinic,4.8,
Clear Earwax Clinic Bexley,http://clearearwax.co.uk/,"45 Bexley High St, Bexley DA5 1AB, United Kingdom",+443308183133,Medical clinic,4.9,
Clear Earwax Clinic Clapham,http://clearearwax.co.uk/,"First Floor Office, The Pavement, London SW4 0HY, United Kingdom",+443308183133,Medical clinic,4.9,
Clear Earwax Clinic Greenwich,http://clearearwax.co.uk/,"4 College Approach, London SE10 9HY, United Kingdom",+443308183133,Medical clinic,4.9,
Clifden Centre (Homerton Sexual Health),http://www.homerton.nhs.uk/sexual-health,"Homerton Row, London E9 6SR, United Kingdom",+442076834103,Üreme Sağlığı Kliniği,4,
Clinica London,https://www.clinicalondon.co.uk/,"1st & 2nd Floor, 140 Harley St, London W1G 7LB, United Kingdom",+442079357990,Eye care center,4.2,
Clinimed Aesthetics London,https://businessinformationsmap.org/details/clinimed-aesthetics-london-ChIJtdI,"12 Beauchamp Pl, London SW3 1NQ, United Kingdom",+923250946932,Dermatologist,,
Communitas Clinics,https://www.communitasclinics.nhs.uk/,"Sunley House, 4 Bedford Park, Croydon CR0 2AP, United Kingdom",+442086836734,Dermatologist,4.5,
Community Dermatology Southwark Service,https://www.guysandstthomas.nhs.uk/our-services/community-dermatology-lambeth-and-southwark,"Elm Lodge GP Surgery, Elm Lodge, 2 Burbage Rd, London SE24 9HJ, United Kingdom",+447776512899,,,
Conceive Clinic - Kew Gardens,https://www.conceive.org.uk/,"21 Dudley Rd, Richmond TW9 2EH, United Kingdom",+442080929280,Fertility clinic,5,
Concept Fertility Clinic,https://www.conceptfertility.co.uk/,"14 Point Pleasant, London SW18 1GG, United Kingdom",+442033883000,Fertility clinic,4.3,
Contraception and Sexual Health Service at Your Healthcare,https://yourhealthcare.org/services/community-contraception-and-sexual-health/,"22 Hollyfield Rd, Surbiton KT5 9AL, United Kingdom",+442083394783,Medical clinic,5,
Cool Clinic® - CoolSculpting London (Fat Freezing),https://www.cool.clinic/,"130 Harley St, London W1G 7JU, United Kingdom",+442070431117,Medical clinic,4.1,
Coombe Menopause Clinic,https://www.kathyabernethy.com/,"Groves Private Practice, New Malden KT3 3TX, United Kingdom",,Medical clinic,,
Cosmedics Skin Clinics,https://www.cosmedics.co.uk/,"42 New Broad St, London EC2M 1JD, United Kingdom",+442073860464,Dermatolog,4.8,
Cosmetic Clinic,https://www.cosmeticclinic.london/,"4, Locks Court, 429 Crofton Rd, Locksbottom, Bromley BR6 8NL, United Kingdom",+443330163500,Medical spa,4.4,
Coyne Medical,http://www.coynemedical.com/,"660 Fulham Rd., London SW6 5RX, United Kingdom",+442077313077,Medical clinic,4.7,
CREATE Fertility Hertfordshire,https://www.createfertility.co.uk/fertility-clinics/hertfordshire,"45-47 Kings Rd, London Colney, St Albans AL2 1ES, United Kingdom",+441727532436,Fertility clinic,3.4,
CREATE Fertility London St. Paul's,https://www.createfertility.co.uk/fertility-clinics/london-st-pauls,"150 Cheapside, London EC2V 6ET, United Kingdom",+442038688581,Fertility clinic,3.8,
CREATE Fertility London Wimbledon,https://www.createfertility.co.uk/fertility-clinics/london-wimbledon,"St George's House, 3-5 Pepys Rd, London SW20 8NJ, United Kingdom",+442039369609,Fertility clinic,4.5,
CREATE Fertility Loughton,https://www.createfertility.co.uk/fertility-clinics/loughton,"Health Centre, Rectory Ln, Loughton IG10 3RU, United Kingdom",+442039360447,Fertility clinic,4.8,
CRGH Great Portland Street,https://crgh.co.uk/,"230-232 Great Portland St, London W1W 5QS, United Kingdom",+442078372905,Fertility clinic,4.3,
Croydon Sexual Health Centre,https://www.croydonsexualhealth.nhs.uk/,"530 London Rd, Thornton Heath CR7 7YE, United Kingdom",+442084013766,Specialized clinic,3.7,
Croydon Sports Injury Clinic Ltd,https://www.croydonsportsinjuryclinic.co.uk/,"184 Addington Rd, Selsdon, South Croydon CR2 8LB, United Kingdom",+442080903593,Quiropráctico,4.8,
Croydon Weight Loss Clinic,https://croydonweightlossclinic.co.uk/,"246 Wickham Rd, Croydon CR0 8BJ، United Kingdom",+442086544826,,,
Cupping Clinic E7 - Hijama in London,https://cuppingclinic.com/,"37 Upton Ln, London E7 9PA, United Kingdom",+442084707999,Fertility clinic,4.9,
Cute Clinic,https://www.cuteclinic.co.uk/,"Turnham Green Terrace, Chiswick, London W4 1DF, United Kingdom",,Nutritionist,5,
CutKilo - Medical Weight Loss | Mounjaro | Injectable Treatment,http://www.cutkilo.com/,"86 Harley St, London W1G 7HP, United Kingdom",+442076378227,Weight loss service,5,
Damo's Personal Training,https://damospt.com/,"10 Claylands Rd, London SW8 1NY, United Kingdom",+447956212401,Weight loss service,5,
De Felipe Dermatologist London,https://london.defelipe.com/,"4th, 100 Bond St, London W1S 1SP, United Kingdom",+447871328069,Dermatólogo,4.9,
Derm Design - Chelsea,https://derm-design.com/,"Ground floor Riverfront, 368 Queenstown Rd, London SW11 8NN, United Kingdom",,Dermatologist,5,
