name,website,address,phone,category,rating,reviews_count
24 hour emergency dentist at Kings Cross Dental,https://www.kingscrossdental.co.uk/,"1st floor, Dental Practice, 285-287 Gray's Inn Rd, London WC1X 8QD، United Kingdom",+442078370773,,4.6,
24 Hour Emergency Dentists London,https://www.emergencydentist24hours.co.uk/,"143 Durnsford Rd, London N11 2EL, United Kingdom",+442082457575,Dentist,4.7,
24/7 Dental Clinics,http://www.247dental.co.uk/,"1, Dauphine Court, Spencer Rd, Harrow HA3 7AS, United Kingdom",+447402833381,Dentist,4.7,
25 Harley Street,https://www.phoenixhospitalgroup.com/our-locations/25-harley-street/,"25 Harley St, London W1G 9QW, United Kingdom",+442070792100,Medical clinic,4.3,
2Me Clinic,https://2meclinic.com/,"1-5 Portpool Ln, London EC1N 7UU, United Kingdom",+442081466626,Fertility clinic,4.9,
360 Degree Clinic,https://www.360degreeclinic.co.uk/,"58A Victoria Rd, Surbiton KT6 4NQ, United Kingdom",+442039714025,Wellness center,4.7,
360 Med | Private Medical Clinic - North London,https://360med.co.uk/,"120 Fortis Green Rd, Muswell Hill, London N10 3HN, United Kingdom",+442080504048,Centro médico,4.9,
38 Devonshire Street Dental Practice,https://38devonshirestreet.co.uk/,"38 Devonshire St, London W1G 6QB, United Kingdom",+442079355354,Dentist,5,
3a Chinese Medicine Centre,,"81 Lewisham High St, London SE13 5JX, United Kingdom",+442088522000,Clínica china,4.4,
3D Lipo London Non surgical clinic,https://www.3dlipolondon.com/,"82 York St, London W1H 1QP, United Kingdom",+447763566574,Weight loss service,5,
42 the dental practice,https://www.42thedentalpractice.com/,"42 Pembridge Rd, London W11 3HN, United Kingdom",+442072295542,Dental clinic,4.4,
48 Glenthorne Road,https://www.westlondon.nhs.uk/our-services/our-locations/48-glenthorne-road,"48 Glenthorne Rd, London W6 0LS, United Kingdom",+442084831979,Mental health service,5,
4D London Clinic,http://www.4dlondonclinic.co.uk/,"302c Eastcote Ln, Harrow HA2 9AH, United Kingdom",+447534465338,Dermatologist,5,
4Well People,http://www.4wellpeople.co.uk/,"12 Broomfield Rd, London W13 9AP, United Kingdom",+447967639347,Nutritionist,5,
5 Element Acupuncture,https://5element.co.uk/,"First Floor, 265 Upper St, London N1 2UQ, United Kingdom",+447497915050,Acupuncture clinic,5,
50 Hill Rise,https://50hillrise.com/,"50 Hill Rise, Richmond TW10 6UB, United Kingdom",+442081830088,Trung tâm chăm sóc sức khỏe,4.9,
58 wellbeing Centre,https://58southmoltonstreet.co.uk/,"58 S Molton St, London W1K 5SL, United Kingdom",+442077061997,Wellness center,4.8,
75 Harley Street Dental Practice,https://www.75harleystreet.co.uk/,"75 Harley St, London W1G 8QL, United Kingdom",+442079353914,Dental clinic,4.8,
76 Harley Street,https://76harleystreet.com/,"76 Harley St, London W1G 7HH, United Kingdom",+442076313276,Dental clinic,5,
77 Harley Street,https://www.bupa.co.uk/dental/dental-care/practices/platinum-77-harley-street?y_source=1_MTAwNzUxMzI3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"77 Harley St, London W1G 8QN, United Kingdom",+442075809541,Dentist,5,
80 Kensington Dental Clinic,http://www.kensingtondentalclinic.co.uk/,"80 Kensington High St, London W8 4SG, United Kingdom",+442079382833,Dental clinic,4.7,
80 Leadenhall Street (Homerton Sexual Health) - Appointment Only,http://www.homerton.nhs.uk/sexual-health,"80 Leadenhall St, London EC3A 3DH, United Kingdom",+442076834103,STD clinic,4.5,
9 Harley Street,https://www.phoenixhospitalgroup.com/our-locations/9-harley-street/,"9 Harley St, London W1G 9QY, United Kingdom",+442070792100,Medical clinic,4.3,
92 Dental,http://www.92dental.co.uk/,"5 Glenthorne Mews, 115a Glenthorne Rd., Hammersmith, London W6 0LJ, United Kingdom",+442087481381,Dental clinic,4.9,
A Al-Attar&Associates Dental Surgeons,,"53-55 Old Ford Rd., London E2 9PJ, United Kingdom",+442089803252,Dental clinic,4,
A Company for Women,http://acompanyforwomen.com.sg/,"Camden Medical Centre #03-05/06, 1 Orchard Boulevard (S)248649, 248649",63336181,Bác sĩ khoa sản-Bác sĩ phụ khoa,4.7,
A Gentle Night's Sleep - Seema Barua Baby Sleep Consultant,https://babysleeptrainer.uk/,"Hall, Rainham RM13 9YN, United Kingdom",+447581410015,Sleep clinic,5,
A P Clinic,http://apclinic.co.uk/,"353 Muswell Hill Broadway, Muswell Hill, London N10 1BX, United Kingdom",+442084441920,Physical therapist,4.9,
A&A Medical Ltd,,"s house, St.George, 2-4 Eastern Rd, Romford RM1 3PJ, United Kingdom",+441708511800,Physiotherapy Center,4.6,
A&M Health Clinic - Massage Services,https://www.amhealthclinic.co.uk/,"98 Cleveland St, London W1T 6NR, United Kingdom",+442073888199,Massage parlor,4.9,
A-Plus Clinic,https://aplusclinic.co.uk/,"38 Room, 4th Floor, 2-4 Great Eastern St, London EC2A 3NW, United Kingdom",+447496368790,Cơ sở chăm sóc da,5,
A.C.E. Physiotherapy Bethnal Green,http://www.acephysiotherapybethnalgreen.com/,"Énergie Fitness, 115 Coventry Rd, London E2 6JB, United Kingdom",+447769970720,Physical therapist,5,
A.L.O Physiotherapy Clinic,https://alo-physiotherapy.co.uk/,"Harmont House, 20 Harley St, London W1G 9PH, United Kingdom",+442045796800,Fizik Tedavi Kliniği,5,
"A2Z Elite Health & Performance I Physiotherapy, Osteopathy Hampstead London NW3",https://www.a2zelitehealth.com/,"Zen Pharmacy, 57-61 Heath St, London NW3 6UG, United Kingdom",+442076374442,Physical therapist,5,
Abbey Dental Barking,https://www.abbeydentalbarking.co.uk/,"2 Arboretum Pl, London IG11 7RL, United Kingdom",+442085944129,Phòng khám nha khoa,4.3,
Abbey Dental Walthamstow,https://www.abbeydentalwalthamstow.co.uk/,"25 St James St, London E17 7PJ, United Kingdom",+442085212816,Phòng khám nha khoa,4.4,
Abbey Medical Centre,http://www.abbeymedicalcentrebarking.co.uk/,"1 Harpour Rd, Barking IG11 8RJ, United Kingdom",+442080908106,Phòng khám,3.1,
Abbey Spa & Wellness,https://everyonespa.com/our-venues/abbey-spa-barking/,"Bobby Moore Way, Barking IG11 7LX, United Kingdom",+442039484960,Spa,3.7,
"abc ivf London, part of CREATE Fertility",https://www.abcivf.co.uk/our-clinics/london,"150 Cheapside, London EC2V 6ET, United Kingdom",+442081316854,Fertility clinic,4.3,
"abc ivf loughton, part of CREATE Fertility",https://www.abcivf.co.uk/our-clinics/loughton,"Health Centre, Rectory Ln, Loughton IG10 3RU, United Kingdom",+442081033099,Fertility clinic,4.7,
"abc ivf St Albans, part of CREATE Fertility",https://www.abcivf.co.uk/our-clinics/st-albans,"Colney Medical Centre, 45-47 Kings Rd, London Colney, St Albans AL2 1ES, United Kingdom",+441727532284,Fertility clinic,4.3,
"abc ivf Wimbledon, part of CREATE Fertility",https://www.abcivf.co.uk/our-clinics/london-wimbledon,"St George's House, 3-5 Pepys Rd, London SW20 8NJ, United Kingdom",+442081310027,Fertility clinic,4,
Abdulqadir AHMED-NUR,http://privatewalkinclinic.com/,"551 High Rd, London N17 6SB، United Kingdom",+442088085901,,5,
Abi Dental & Nervous Patient Centre,http://www.abidentaluk.com/,"380 Sutton Common Rd, Sutton SM3 9PL, United Kingdom",+442086442000,Dentist,5,
Abuelita's Wellbeing CIC @Hackney Downs Studios,http://www.abuelitas.co.uk/,"17 Amhurst Terrace, Lower Clapton, London E8 2BT, United Kingdom",+447481592374,Sağlıklı Yaşam Merkezi,5,
AC Dentartis Dentist in Barkingside,https://www.dentist.doc.uk/,"8 Tanners Ln, Ilford IG6 1QJ, United Kingdom",+442036001687,Dental clinic,4.9,
Accelerate CIC Lymphoedema & Leg Ulcer Clinic,http://www.acceleratecic.com/,"Joseph's Hospice, Centenary Wing, St, Mare St, London E8 4SA, United Kingdom",+442038196022,Sağlık Ocağı,4.5,
Accessible Counselling and Therapy (ACT),https://actmentalhealth.org.uk/,"121 Masons Hill, Bromley BR2 9HT, United Kingdom",+442084607711,Beneficencia,4.1,
AccuVision - Laser Eye Clinic,https://www.accuvision.co.uk/,"42-48 New Kings Rd, London SW6 4LS, United Kingdom",+443301232020,Eye care center,4.7,
Ace Aesthetics,http://www.aceaesthetics.co.uk/,"Surrey, 3 Castle Yard, Richmond TW10 6TF, United Kingdom",+443335770750,Clínica dermatológica,5,
Ace Dental London,https://www.acedentallondon.co.uk/,"Lister House, 11-12 Wimpole St, London W1G 9ST, United Kingdom",+448081750945,Dentist,4.5,
Ace Skin Health Clinic,https://aceskinhealthclinic.co.uk/,"337 Caledonian Rd, London N1 1DW, United Kingdom",+442081431682,Skin care clinic,5,
ACES Chiswick,https://www.aces-eyeclinic.co.uk/clinic/chiswick,"110 Chiswick High Rd., Chiswick, London W4 1PU, United Kingdom",+443331882937,Centro de oftalmología,,
Achieve Spinal Health | Sport Injury Treatment,https://www.achievespinalhealth.co.uk/,"1st FLOOR- SUITE 16, Siddeley House, 50 Canbury Park Rd, Kingston upon Thames KT2 6LX, United Kingdom",+442071014503,Chiropractor,4.8,
Achieve together,https://www.achievetogether.co.uk/homes/uxbridge-road/?https%3A%2F%2Fwww.achievetogether.co.uk%2Fhomes%2Fuxbridge-road%2Futm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"623 Uxbridge Rd, Hayes UB4 8HR, United Kingdom",+443301755332,Disability services and support organization,5,
Acne Clinic UK,,"Golders Hill House, 592 Finchley Rd, London NW11 7RX, United Kingdom",+448456529522,Skin care clinic,5,
acoach4life | abody4life,http://isobelcripps.com/,"18 Second Ave, Enfield EN1 1BT, यूनाइटेड किंगडम",,Életvezetési tanácsadó,5,
Acorn Andrology,https://www.acornandrology.co.uk/,"11 Genotin Terrace, Enfield EN1 2AF, United Kingdom",+442045374564,Clinique de fertilité,5,
Acorn Fertility,https://acornfertility.co.uk/,"Cavendish Rd, London SW19 2EZ, United Kingdom",,Fertility clinic,4.7,
Acorn Medical Centre,https://www.acornmedicalcentre.nhs.uk/,"149 Long Ln, Uxbridge UB10 9JN, United Kingdom",+441895237474,Doctor,2.4,
Active Inside Out,http://activeinsideout.com/,"396 Queensgate Gardens, Upper Richmond Rd, London SW15 6AN, United Kingdom",,Sports medicine clinic,,
Active Life Podiatry,http://www.alpodiatry.co.uk/,"1 Parsons Green Ln, London SW6 4HP, United Kingdom",+442073816682,Podiatrist,4.8,
Active Life Podiatry,http://www.alpodiatry.co.uk/,"2nd Floor, 266 Upper Richmond Rd, London SW15 6TQ",02073865016,Podologe,5,
Active Osteopaths,http://www.activeosteopaths.com/,"Swiss Cottage Leisure Centre, Adelaide Rd, London NW3 3NF, United Kingdom",+442080882860,Osteopath,5,
ActiveBacks,http://www.activebacks.com/?UTM_source=GBL,"330 King St, London W6 0RR, United Kingdom",+442084001996,Rehabilitation center,4.9,
activebodyclinic,http://activebodyclinic.co.uk/,"Flat 4, Beckenham Ln, Bromley BR2 0DG, United Kingdom",+447802424192,Physical therapist,5,
Acu-Synergy Chinese Medicine Centre,http://www.acusynergy.co.uk/,"18A Welbeck Way, London W1G 9YJ, United Kingdom",+447810395363,Acupuncture clinic,5,
Acubody Therapies,https://www.acubody.net/,"Natural Health, 46 Theobalds Rd, London WC1X 8NW, United Kingdom",+442038236888,Clínica de acupuntura,5,
Acuherbmed - Acupuncture Clinic,http://www.acuherbmed.co.uk/,"Acupuncture Clinic at Ethos Sports Centre, 7 Prince's Gardens, London SW7 1NA, United Kingdom",+447786140840,Acupuncture clinic,,
AcuHouse by Jani White,,"92 Harley St, London W1G 7HU, United Kingdom",+447932000025,Acupuncture clinic,5,
Acumedic Centre,https://www.acumedic.com/,"101-105 Camden High St, London NW1 7JN, United Kingdom",+442073885783,Wellness center,,
AcuMedic Clinic,http://www.acumedic.com/,"103-105 Camden High St, London NW1 7JN, United Kingdom",+442073886704,Bệnh viện phụ sản,4.5,
AcuMedic Professional,http://shop.acumedic.com/,"99-105 Camden High St, London NW1 7JN, United Kingdom",+442073885783,Medical supply store,5,
ACUPRO CLINIC-Acupuncture & Chinese Medicine (City of London),http://www.acuproclinic.co.uk/,"33-34 Bury St, London EC3A 5AR, United Kingdom",+442032397888,Clínica de acupuntura,4.9,
ACUPRO CLINIC-Acupuncture & Chinese Medicine (London Victoria),https://acuproclinic.co.uk/,"10 Buckingham Palace Rd, London SW1W 0QP, United Kingdom",+442032397888,Acupuncture clinic,5,
"Acupuncture & Chinese Medicine, Dudley Kent, MBAcC MRCHM",https://city-acupuncture.com/city-acupuncture-clinic/,"Room 100, 3rd Floor, The Broadgate Clinics, 65 London Wall, London EC2M 5TU, United Kingdom",+442039512602,Acupuntor,5,
Acupuncture & Herbs,https://acupunctureandherbs.netlify.app/,"19-21 Eastern Rd, Romford RM1 3NH، United Kingdom",+447835226135,Acupuncture clinic,5,
Acupuncture & Moxibustion In London,http://www.acupuncturelondon.co/,"26 England's Ln, Belsize Park, London NW3 4TG, United Kingdom",+447951300135,Acupuncture clinic,5,
Acupuncture & Pain Relief Clinic in Hounslow (Dr Hu),http://www.dr-huclinic.com/,"110 High St, Hounslow TW3 1NA, United Kingdom",+442034895353,Acupuncturist,4.5,
Acupuncture and Massage,http://www.healthzoneclinic.co.uk/,"30 Wimbledon Hill Rd, London SW19 7PA, United Kingdom",+442089441133,Acupuncture clinic,4.3,
"Acupuncture at Whitstable , Margate and Maidstone Melanie Gleeson Lee",http://melaniegleesonleeacupuncture.co.uk/,"4 Harley St, London W1G 9PB, United Kingdom",+447837637465,Acupuncture clinic,5,
Acupuncture for Fertility,https://www.ecabrady.com/,"2 Wimpole St, London W1G 0EB, United Kingdom",+447792739759,Acupuncture clinic,5,
Acupuncture for pain control,,"London SW3 1AU, United Kingdom",,Acupuncture clinic,1,
Acupuncture For Women Hampstead,http://www.anneacupuncture.com/,"Courthope Rd, London NW3 2LE, United Kingdom",+447941230942,Acupuncture clinic,5,
Acupuncture in Richmond,http://acupunctureinrichmond.co.uk/,"58 Lichfield Gardens, Richmond TW9 1AP, United Kingdom",+447833583657,Acupuncturist,5,
Acupuncture Life Clinic,http://www.acupuncturelife.co.uk/,"32 Warren St, London W1T 5PG, United Kingdom",+447359093369,Phòng châm cứu,5,
Acupuncture London - Harley Street,,"134 Harley St, London W1G 7JY, United Kingdom",,Acupuncturist,5,
Acupuncture London Mayfair,,"58 S Molton St, London W1K 5SL, United Kingdom",,Acupuncture clinic,,
Acupuncture with The Elements Project,http://www.theelementsproject.com/,"27 Holywell Row, London EC2A 4XE, United Kingdom",,Clínica de acupuntura,5,
Acupuncture Works Fertility & Women’s Health,http://acupunctureworkslondon.co.uk/,"34 Hollickwood Ave, London N12 0LT, United Kingdom",+442083681130,Acupuncture clinic,5,
Acupuncturelondon,https://www.acupuncturelondon.co/,"13 St George's Mews, London NW1 8XE, United Kingdom",+447951300135,Acupuncture clinic,5,
Acupuncturelondon South,https://acupuncturelondon.co/,"1 St Andrews Cl, London SW19 8NJ, United Kingdom",+447537840479,Acupuncturist,5,
Acuyu,https://acuyu.co.uk/,"London W1H 2HL, United Kingdom",+447903514097,Acupuncture clinic,5,
AD LASER CLINIC EXPRESS PUTNEY,,"56 Putney High St, London SW15 1SF, United Kingdom",+442080624472,Laser hair removal service,2.9,
Adare Dermatology,https://www.adaredermatology.co.uk/,"18 Park Walk, London SW10 0AQ, United Kingdom",+442037693937,Medical clinic,5,
Addison Road Medical Practice,http://www.addisonroadmedicalpractice.nhs.uk/,"46 Ravenswood Rd, London E17 9LY, United Kingdom",+442081769110,General practitioner,4.2,
Adell's Chemist · Travel Clinic · Private GP · Physiotherapy,https://www.medicalphysics.institute/hillingdonpharmacy/adell,"392 Long Ln, Uxbridge UB10 9PG, United Kingdom",+441895256394,Physical therapist,4.1,
ADHD Clinic,,"Consulting Rooms, St Thomas's Hospital, Westminster Bridge, Westminster Bridge Rd, London SE1 7EH, United Kingdom",,Psychiatrist,3,
ADHD clinic (Inam Psychiatry Ltd),http://www.adhd-clinic.co.uk/,"5 Brayford Sq, Stepney Green, London E1 0SG, United Kingdom",+448000549572,Psychiatrist,5,
ADHD Consultancy,http://www.adhdconsultancy.co.uk/,"25 Warminster Rd, London SE25 4DL, United Kingdom",,Mental health service,4.9,
Adina Comorasu Psychotherapy,https://adinacomorasu.com/,"8, West Hampstead, 224 Iverson Rd, London NW6 2HL, United Kingdom",+447523952340,Psychotherapist,5,
ADM Skin Clinic,https://admskinclinic.com/,"516-518 Fulham Rd., London SW6 5NJ, United Kingdom",+442076109400,Skin care clinic,4.7,
Adman La Clinique - Private Dietitian,https://www.admanlaclinique.com/,"Unit 4, 10 Portman Square, London W1H 6AZ, United Kingdom",,Dietitian,5,
Adonai Health & Wellness Centre- Natural Wellbeing: Empowering the Body & Mind. UK Wide.,https://www.adonaihealthandwellnesscentre.com/,"167-169 Great Portland St, London W1W 5PF, United Kingdom",+448000016528,Wellness center,5,
Adonia Medical Clinic,https://www.adoniamedicalclinic.co.uk/,"474 Harrow Rd, Maida Hill, London W9 3RU, United Kingdom",+442038757399,Cơ sở chăm sóc da,4.8,
Adu Aesthetics,https://instagram.com/adu.aesthetics?igshid=OGQ5ZDc2ODk2ZA==,"Surrey Rd, Barking IG11 7QT, United Kingdom",+447581718447,Cơ sở chăm sóc da,5,
Advance Dental Care - Dental Implants | Composite Bonding | Invisalign | Clear Braces | Hygienists | Emergency Dentist,http://www.advance-dental-care.co.uk/,"100 High St, Hounslow TW3 1NH, United Kingdom",+442087543910,Dental clinic,4.7,
Advance Dental Suite - Dental Implants | Composite Bonding | Invisalign & Teeth Straightening | Emergency | Hygienist,http://www.dentistkilburn.co.uk/,"196 Kilburn High Rd, London NW6 4JD, United Kingdom",+442076045810,Kozmetik Diş Hekimi,4.7,
Advanced Hair Studio,https://www.advancedhair.co.uk/contact/studio-locator/uk-studios-list/romford,"189 South St, Hornchurch, Romford RM1 1QA, United Kingdom",+448456008899,Hair salon,4.4,
Advanced Medical Services UK Limited,,"146 The Broadway, London W13 0TL, United Kingdom",+442037017051,Medical clinic,5,
Advanced Nutrition Clinic,http://www.advancednutritionclinic.co.uk/,"The Charterhouse Clinic, 98 Crawford St, London W1H 2HL, United Kingdom",07799148013,Nutritionist,5,
Advanced Skin Medical Aesthetics,https://www.treatwell.co.uk/place/skinmedic-clinic/,"163-165 Uxbridge Rd, London W13 9AU, United Kingdom",+447742379540,Skin care clinic,4.8,
Advanced Total Therapy - Chiswick,,"Chiswick Acupuncture Clinic, Chiswick 5DG, 251 Acton Ln, London W4 5DG, United Kingdom",+448456342392,Clínica de fisioterapia,4,
Aelite Dental,https://www.aelitedental.com.au/,"35 Albyn St, Bexley NSW 2207",0295671618,Nha sĩ,5,
Aesculus Clinic,https://aesculusclinic.com/home,"The Health Hub, 157 High St, New Malden KT3 4BH, United Kingdom",+447385903564,Skin care clinic,5,
Aesculus Clinic,https://www.aesculusclinic.com/,"41 Beauchamp Pl, London SW3 1NX, United Kingdom",+447385903564,Wellness center,5,
Aesthetic Clinics,,"Suite 2 Sloane St, London SW1X 9QR, United Kingdom",+448450943567,Hair transplantation clinic,,
"Aesthetic Dentistry (Dentists in Barnet, London) | Teeth Whitening | Dental implant | Cosmetic Dentistry",https://aestheticdentists.co.uk/,"83 Station Rd, New Barnet, Barnet EN5 1PX, United Kingdom",+447398596698,Dental clinic,5,
AESTHETIC SKIN CELLS,,"7 Harley St, London W1G 9QY, United Kingdom",+447590055590,Cơ sở chăm sóc da,5,
AesthetiCare Clinic by Dr Khaula Safdar,https://aestheticareclinic.co.uk/,"87 Moorgate, London EC2M 6SA, United Kingdom",+447931913489,Medical spa,5,
Aesthetics by Dr Jemma,https://www.drjemma.com/,"Old Power Station, Clinic 202 - Aesthetics by Dr Jemma (Hanger Lane Clinic, Wow Workspaces Ealing, Western Ave, Brentham Garden Suburb, London W5 1HS, United Kingdom",+447701349600,Medical clinic,5,
Aesthetics By Marika,https://aestheticsbymarika.co.uk/,"First Floor, Millionhairs Salon, 22 London Rd, Enfield EN2 6ED, United Kingdom",+447341012845,Skin care clinic,4.9,
Aesthetics By Nasren,https://www.instagram.com/aesthetics.by.nasren/,"Unit 2, 33 New Broadway, London W5 5AH, United Kingdom",+447979397260,Skin care clinic,5,
aesthetics by sobhna,https://www.instagram.com/aesthetics_by_sobhna,"3 Shirley Cl, Hounslow TW3 2HF, United Kingdom",+447825345975,Skin care clinic,5,
Aesthetics Clinic London,https://botoxandfillerscliniclondon.co.uk/,"Located in DERMACIA PHARMACY, 19 Canonbury Ln, London N1 2AS, United Kingdom",+447893942444,Skin care clinic,5,
Aesthetics Lab,https://www.aestheticslab.co.uk/,"128 Regent's Park Rd, London NW1 8XL, United Kingdom",+442035825894,Cơ sở chăm sóc da,4.8,
Aesthetics of Essex,https://aestheticsofessex.co.uk/,"58 Station Rd, Upminster RM14 2TD, United Kingdom",+441708225555,Cơ sở chăm sóc da,4.9,
Aestheticsurgery,https://aestheticsurgeryhair.co.uk/,"23 Ash Grove, London N13 5AE, United Kingdom",+447903088841,Clínica de trasplante capilar,5,
Aesthetika Dental Studio,https://aesthetikadentalstudio.co.uk/,"13 Penrhyn Rd, Kingston upon Thames KT1 2BZ, United Kingdom",+442085415480,Clínica dental,4.9,
AF Dental Hackney,https://www.afdentalhackney.com/,"Unit C, 14 Collent St, London E9 6SG, United Kingdom",+442079980080,Dental clinic,4.7,
Affordable Counselling Positive Healthy You,https://sites.google.com/view/affordablecounselling/home,"Widmore Rd, Bromley BR1 3DH, United Kingdom",+447761555538,Asesor,5,
AG & Co Health - London,https://www.agcohealth.co.uk/,"112 Churchill Rd, Croydon CR2 6HB, United Kingdom",+447849582010,Mental health service,5,
Agility Physio Ltd,http://www.agilityphysio.net/,"Phase 1, Suite 316, 3rd Floor, Stanmore Business & Innovation Centre, Stanmore Place, Howard Rd, Stanmore HA7 1GB, United Kingdom",+442030929976,Vật lý trị liệu,5,
Agility Physio Ltd,https://agilityphysio.net/,"Pulse Pharmacy, 310 Clapham Rd, Stockwell SW9 9AE, United Kingdom",+442030929976,Physical therapist,5,
Agnieszka Jacewicz Psychotherapy,http://www.aj-psychotherapy.com/,"the mille, Brentford TW8 9DW، United Kingdom",+447500161651,,5,
AGS Dental Clinic,,"Unit 4 Monck St, London SW1P 2BQ, United Kingdom",+442032391997,Cosmetic dentist,5,
Ahara Nutrition,http://www.aharanutrition.com/,"2, My Chiro Clinic, Blake House, Admirals Way, Canary Wharf Estate, London E14 9UJ، United Kingdom",07545807624,Ernährungsberater,5,
Ahara Nutrition,http://www.aharanutrition.com/,"Token House, Tokenhouse Yard, London EC2R 7AS, United Kingdom",+447545807624,Nutritionist,5,
AHI Clinic,https://ahiclinic.co.uk/,"Unit Block E, Commercial, Ground Floor, 30 Indescon Sq, Canary Wharf Estate, London E14 9DR, United Kingdom",+447538885074,Phòng khám cấy tóc,5,
Ahmed R Ahmed,https://www.ahmedr.com/,"108 Harley St, London W1G 7ET, United Kingdom",+447973228331,Weight loss service,5,
Aho Sound Journey,https://www.ahosoundjourney.com/,"3 Spencer Rd, West Wimbledon, London SW20 0QN, United Kingdom",+447539484761,Wellness center,5,
"Ainara Leunda - Counsellor, Psychotherapist and Health coach",http://www.ainaraleunda.co.uk/,"Office 15, 19-21 Eastern Rd, Romford RM1 3NH, United Kingdom",+447843486890,Asesor,5,
Aino Health Centre,http://www.ainohealthcentre.co.uk/,"8 Kingston Rd, London SW19 1JZ, United Kingdom",+442033808399,,4,
Aion Clinic,https://www.aion-clinic.com/,"384 City Rd, London EC1V 2QA, United Kingdom",,Mental health clinic,5,
AIS Health Check - Chelsea,https://www.aishealthcheck.co.uk/,"Randox Health, 346 King's Rd, London SW3 5UR, United Kingdom",+442078713015,Medical laboratory,5,
AIS Health Check - Kensington,https://www.aishealthcheck.co.uk/,"Randox Health, 143 Kensington High St, London W8 6SU, United Kingdom",+442078713015,Medical laboratory,5,
Aitherion Wellness by Florence Pasteur,http://www.aitherionwellness.com/,"Building Suite N9, Sidney Smith, 36-42 King's Rd, London SW3 4UD, United Kingdom",+447834884225,Alternative medicine practitioner,5,
Aiva Wellness,https://aivawellness.com/,"7 Hertford St, London W1J 7TH, United Kingdom",+447494492232,Plastic surgery clinic,5,
Akerman Medical Practice,http://www.akermanmedicalpractice.com/,"2nd Floor, Akerman Health Centre, Patmos Rd, London SW9 6SF, United Kingdom",+442035820000,Medical clinic,2.6,
Alaia Aesthetics,https://alaiaaesthetics.as.me/,"11a Atlantis Ave, London E16 2UD, United Kingdom",+442037734048,Health and beauty shop,4.9,
Alan Coles Osteopath,http://acolesosteo.com/,"7 Stanhope Mews W, South Kensington, London SW7 5RB, United Kingdom",+447802826109,Osteopath,4.5,
Albany Dental Centre,http://www.albanydentalcentre.com/,"50 Haverstock Hill, London NW3 2BH, United Kingdom",+442074852565,Dental clinic,4.9,
Albany Diet Clinic,http://www.albanyclinic.co.uk/,"F1, 64 Borough High St, London SE1 1XF, United Kingdom",+442074033922,Medical clinic,,
Albany Medical Centre Weight loss,http://www.albanyclinic.co.uk/,"2 Alma Rd, Sidcup DA14 4EA, United Kingdom",+442083009900,Weight loss service,4.9,
Alcheme Wellbeing,https://alcheme.co.uk/,"23-25 Brighton Rd, Surbiton KT6 5LR, United Kingdom",+447523749856,Wellness center,4.2,
